I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
4755		1976	11	30	0	40	 57.8	82	 7.3			 7.3			 7.3	8	CHILE		CHILE:  POZO ALMONTE, OFICINA VICTORIA, ARICA	 -20.520	  -68.920	160	       1	1			        13	1		2																
4760		1977	3	4	19	21	 55.6	89	 7.5	 7.5		 7.2					ROMANIA		ROMANIA:  BUCHAREST	  45.777	   26.703	110	    1641	4			     10500	4	    2000.000	4					    1641	4			10500	4	    2000.000	4				
4764		1977	3	18	21	43	 52.4	37	 7.3	 7.3	 7.0	 6.2				7	PHILIPPINES		PHILIPPINES:  LUZON:  MANILA	  16.770	  122.330	170	       1	1			         9	1	        .100	1	14	1	22	1	       1	1			9	1	        .100	1	14	1	22	1
4765		1977	3	21	21	18	 54.2	29	 6.9		 6.9	 6.2			 7.0		IRAN		IRAN:  BANDAR ABBAS	  27.610	   56.390	140	     167	3			       556	3		3					     167	3			556	3		3				
4772		1977	4	6	13	36	 37.1	41	 5.9		 5.9	 5.5			 5.9		IRAN		IRAN:  NAGHAN,ARDAL,JAGHDAN,DASTGERD,KORDAN,SARMUR	  31.980	   50.680	140	     366	3			       200	3		2					     366	3			200	3		2				
6798	Tsu	1977	4	20	23	13	 10.4	33	 6.8		 6.8	 6.4				6	SOLOMON ISLANDS		SOLOMON ISLANDS	  -9.828	  160.323	170	      34	1						3					      34	1						3				
4774	Tsu	1977	4	21	4	24	  9.6	33	 8.1		 8.1	 6.6				7	SOLOMON ISLANDS		SOLOMON ISLANDS	  -9.965	  160.731	170	      18	1			         1	1		3					      18	1			1	1		3				
4777	Tsu	1977	6	22	12	8	 33.4	65	 7.2		 7.2	 7.2			 7.2	4	TONGA		TONGA TRENCH	 -22.878	 -175.900	170	       1	1			         5	1	       1.200	2																
4780		1977	8	31	0	42	  5.4	33	 6.5		 6.5	 5.7			 6.4		COLOMBIA		COLOMBIA:  APARTADO, MEDELLIN	   7.340	  -76.300	160	       3	1						2																
4784		1977	11	23	9	26	 24.7	13	 7.4		 7.4	 6.3			 7.4	9	ARGENTINA		ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA	 -31.030	  -67.770	160	      70	2			       300	3	      80.000	4					      70	2			300	3	      80.000	4				
4786		1977	12	19	23	34	 34.2	31	 5.8		 5.8	 5.4			 5.8		IRAN		IRAN:  BAB-TANGOL	  30.950	   56.470	140	     584	3			      1000	3		3					     584	3			1000	3		3				
4788	Tsu	1978	1	14	3	24	 39.0	14	 6.6		 6.6	 6.2			 7.0	5	JAPAN		JAPAN:  TOKKAIDO, OSHIMA	  34.809	  139.259	30	      25	1	4	1	       129	3		3	85	2	544	3	      25	1			129	3		3	85	2	544	3
4794		1978	3	16	2	0	   .5	33	 5.9		 5.9	 5.3			 5.8	2	PAKISTAN		PAKISTAN:  QUETTA, NUSHKI	  29.926	   66.302	60	       1	1						2																
4795		1978	3	19	1	39	 14.0	36	 6.6		 6.6	 5.8			 6.5		MEXICO		MEXICO:  ACAPULCO	  17.030	  -99.740	150	       1	1			        25	1		2																
4801		1978	4	15	23	33	 47.2	14	 5.7		 5.7	 5.5			 5.8		ITALY		ITALY:  SICILY	  38.391	   15.066	130	       5	1						2	400	3														
4806	Tsu	1978	6	12	8	14	 26.4	44	 7.7		 7.7	 6.8				8	JAPAN		JAPAN:  SANRIKU	  38.190	  142.028	30	      28	1			     10000	4	     865.000	4		4			      28	1			10000	4	     865.000	4		4		
4808	Tsu	1978	6	20	20	3	 21.0	3	 6.4		 6.4	 6.1				8	GREECE		GREECE: THESSALONIKI	  40.739	   23.229	130	      50	1				3	     250.000	4					      50	1				3	     250.000	4				
4815		1978	9	16	15	35	 56.6	33	 7.8		 7.8	 6.5					IRAN		IRAN:  TABAS	  33.386	   57.434	140	   20000	4					      50.000	4		4			   20000	4					      50.000	4		4		
4819	Tsu	1978	11	29	19	52	 47.6	18	 7.7		 7.7	 6.4					MEXICO		MEXICO:  OAXACA	  16.010	  -96.591	150	       9	1				3		2					       9	1				3		2				
4821		1978	12	14	7	5	 20.6	33	 6.2		 6.2	 5.7			 6.3		IRAN		IRAN:  MASJED-E-SOLYEMAN	  32.140	   49.650	140	      76	2				2		2					      76	2				2		2				
4824		1978	12	23	11	23	 12.0	33	 7.0		 7.0	 7.2					TAIWAN		TAIWAN:  PINTUNG	  23.247	  122.075	30	       2	1			         3	1							       2	1			3	1						
4825		1979	1	16	9	50	 10.1	33	 6.8		 6.8	 5.9					IRAN		IRAN:  BONZANABAD	  33.897	   59.472	140	     200	3				3		2					     200	3				3		2				
4827		1979	2	16	10	8	 53.4	53	 6.9		 6.9	 6.2					PERU		PERU:  AREQUIPA	 -16.390	  -72.658	160	      18	1				2		2					      18	1				2		2				
4828	Tsu	1979	3	14	11	7	 16.3	49	 7.6		 7.6	 6.5					MEXICO		MEXICO:  GUERRERO	  17.813	 -101.276	150	       5	1			        35	1	      30.000	4	200	3			       5	1			35	1	      30.000	4	200	3		
4830	Tsu	1979	4	15	6	19	 44.1	10	 6.9		 6.9	 6.2	6.9			9	SERBIA AND MONTENEGRO		BALKANS NW:  MONTENEGRO	  42.096	   19.209	130	     131	3			      1001	4	    2700.000	4		4			     131	3			1001	4	    2700.000	4		4		
4834		1979	5	30	9	38	 52.9	25	 5.8		 5.8	 6.1					INDONESIA		INDONESIA:  SUMBAWA ISLAND	  -8.207	  115.949	170	      22	1					       4.150	2					      22	1					       4.150	2				
4842	Tsu	1979	9	12	5	17	 51.4	5	 7.9		 7.9	 6.3					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -1.679	  136.040	170	      15	1				3		3	1000	3			     115	3				3		3	1000	3		
4844		1979	9	19	21	35	 37.2	16	 5.8		 5.8	 5.9					ITALY		ITALY:  CENTRAL:  UMBRIA	  42.812	   13.061	130	       5	1			      5000	4		3					       5	1			5000	4		3				
4849		1979	10	20	1	41	 10.4	38	 6.2		 6.2	 6.0					INDONESIA		INDONESIA:  SUMBAWA ISLAND	  -8.254	  115.847	170	       2	1			        40	1		2					       2	1			40	1		2				
4850		1979	10	27	14	35	 57.3	58	 6.8		 6.8	 5.7					GUATEMALA		GUATEMALA	  13.833	  -90.881	100	       4	1			        23	1		2					       4	1			23	1		2				
4851		1979	11	2	15	53	  3.5	62	 6.1		 6.1						INDONESIA		INDONESIA:  JAVA	  -7.656	  108.252	170	      30	1			       200	3	      16.000	3					      30	1			200	3	      16.000	3				
4854		1979	11	14	2	21	 22.1	33	 6.6		 6.6	 6.0					IRAN		IRAN:  KHORASAN	  33.918	   59.741	140	     350	3						3					     350	3						3				
4858		1979	11	23	23	40	 29.8	108	 6.4			 6.4					COLOMBIA		COLOMBIA:  MANIZALES-ARMENIA	   4.805	  -76.217	160	      72	2			       600	3	      20.000	3					      72	2			600	3	      20.000	3				
4860		1979	11	27	17	10	 32.9	10	 7.5		 7.5	 6.1				5	IRAN		IRAN	  33.962	   59.726	140	      17	1			        24	1		3					      17	1			24	1		3				
4863	Tsu	1979	12	12	7	59	  3.3	33	 7.7		 7.7	 6.4				9	COLOMBIA		COLOMBIA: OFF SHORE, PACIFIC OCEAN	   1.598	  -79.358	160	     600	3			     20000	4	       8.000	3	10000	4			     600	3			20000	4	       8.000	3	10000	4		
4866		1979	12	15	0	2	 41.6	33	 6.6		 6.6	 5.8					INDONESIA		INDONESIA:  S SUMATERA	  -3.299	  102.712	170	       8	1			       162	3		2	2500	4			       8	1			162	3		3	2500	4		
4867		1979	12	17	19	58	 23.8	33	 6.3		 6.3	 5.6					INDONESIA		INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK	  -8.390	  115.889	170	      27	1			       200	3		2					      27	1			200	3						
4868	Tsu	1980	1	1	16	42	 40.0	10	 6.7		 6.7	 6.0				8	AZORES (PORTUGAL)		AZORES:   TERCEIRA, ANGRA DO HEROISMO	  38.815	  -27.780	130	      69	2			       600	3	       5.000	2					      69	2			600	3	       5.000	2				
4879		1980	6	9	3	28	 18.9	5	 6.4		 6.4	 5.6				5	MEXICO		MEXICO:  NW	  32.220	 -114.985	150	       1	1			       100	2		2					       1	1			100	2		2				
4882		1980	7	9	2	11	 52.8	14	 6.4		 6.4	 5.8				9	GREECE		GREECE:  AEGEAN SEA:  MAGNESIA	  39.269	   23.041	130	       1	1				3	       5.000	2					       1	1				3	       5.000	2				
4888		1980	7	29	14	58	 40.8	18	 6.5		 6.5	 6.1					NEPAL		NEPAL-INDIA:   PITHORAGARH	  29.598	   81.092	60	     200	3				3	     245.000	4					     200	3				3	     245.000	4				
4890		1980	8	9	5	45	  9.5	22	 6.4		 6.4	 6.1					HONDURAS		HONDURAS;  N GUATEMALA:  IZABEL PROVINCE	  15.888	  -88.516	100	       2	1				3		2					       2	1				3		2				
4891		1980	8	18	15	7	 52.6	55	 5.6			 5.6					ECUADOR		ECUADOR:  W, GUAYAQUIL	  -1.948	  -80.017	160	       8	1			       100	2	       5.000	2					       8	1			100	2	       5.000	2				
4894		1980	9	24	17	54	 24.1	73	 6.0			 6.0				6	JAPAN		JAPAN:  TOKYO, YOKOHAMA	  35.450	  139.964	30	       2	1			        73	2	       1.000	2					       2	1			73	2	       1.000	2				
4896	Tsu	1980	10	10	12	25	 23.5	10	 7.7		 7.7	 6.5				10	ALGERIA		ALGERIA:  NORTHERN	  36.195	    1.354	15	    5000	4			      9000	4	    5200.000	4	25000	4			    5000	4			9000	4	    5200.000	4	250000	4		
4899		1980	10	24	14	53	 35.1	72	 6.4		 6.4	 6.6				9	MEXICO		MEXICO:  S, HUAJAPAN DE LEON, OAXACA	  18.211	  -98.240	150	     300	3				3	       5.000	2		3			     300	3				3	       5.000	2		3		
4901		1980	11	8	10	27	 34.0	19	 7.2		 7.2	 6.2				7	USA	CA	CALIFORNIA:  NORTH COAST	  41.117	 -124.253	150	       5	1					       2.750	2																
4903		1980	11	23	18	34	 53.8	20	 6.9		 6.9	 6.0				10	ITALY		ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES	  40.914	   15.366	130	    4689	4			      7700	4	   20000.000	4					    4689	4			7700	4	   20000.000	4				
4907		1980	12	19	1	16	 56.0	33	 5.8		 5.8	 5.6					IRAN		IRAN:  N CENTRAL, TEHRAN	  34.587	   50.652	140	      26	1					       5.000	2					      26	1					       5.000	2				
4909		1981	1	19	15	11	  1.0	33	 6.7		 6.7	 6.0					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS	  -4.576	  139.232	170	     305	3				2	       5.000	2					     305	3				2	       5.000	2				
4911		1981	1	23	21	13	 51.7	33	 6.8		 6.8	 5.7				8	CHINA		CHINA:  SICHUAN PROVINCE	  30.927	  101.098	30	     150	3			       489	3	       5.000	2	2992	4			     150	3			489	3	       5.000	2	2992	4		
4915	Tsu	1981	2	24	20	53	 38.4	33	 6.7		 6.7	 5.9				8	GREECE		GREECE:  ATHENS-EASTERN GULF OF CORINTH	  38.222	   22.934	130	      22	1			       400	3	     812.000	4	8000	4			      22	1			400	3	     812.000	4	8000	4		
4916		1981	3	4	21	58	  5.9	29	 6.4		 6.4	 6.0	6.2			9	GREECE		GREECE:  ATHENS-CORINTH-KHALIS	  38.209	   23.288	130	       1	1			         9	1		2					       1	1			9	1		2				
4917		1981	3	10	15	16	 19.8	31	 5.6			 5.6				8	GREECE		GREECE:  PREVEZA	  39.481	   20.699	130	       2	1						2	150	0			       2	1						2	150	3		
4921		1981	6	11	7	24	 25.2	33	 6.7		 6.7	 6.1					IRAN		IRAN:  SE:  GOLBAFT	  29.913	   57.715	140	    3000	4				3	       5.000	2					    3000	4				3	       5.000	2				
4923		1981	7	28	17	22	 24.6	33	 7.1		 7.1	 5.7					IRAN		IRAN:  SE, KERMAN	  30.013	   57.794	140	    3000	4			      1000	4	    1000.000	4					    3000	4			1000	4	    1000.000	4				
4929		1981	9	12	7	15	 54.1	33	 5.9		 5.9	 6.2					PAKISTAN		PAKISTAN: GILGIT	  35.693	   73.594	60	     220	3			      2500	4	       5.000	2					     220	3			2500	4	       5.000	2				
4930		1981	10	16	3	25	 42.2	33	 7.5		 7.5	 6.2				6	CHILE		CHILE:  OFF CENTRAL COAST, LAS CRUCES	 -33.134	  -73.074	160	       1	1											       1	1										
4932	Tsu	1981	10	25	3	22	 15.5	33	 7.3		 7.3	 6.2					MEXICO		MEXICO:  MICHOACAN: LAZARO CARDENAS	  18.048	 -102.084	150	       9	1						3																
4940	Tsu	1982	3	21	2	32	  7.7	44	 6.7		 6.7	 6.4				10	JAPAN		JAPAN:  HOKKAIDO, URAKAWA, HIROO	  42.158	  142.361	30	     110	3					       1.000	2																
4941		1982	3	28	23	24	 51.1	95	 6.1			 6.1				6	PERU		PERU:  COAST, LUNAHUANA, LIMA, HUANCAYO	 -12.690	  -76.065	160	       3	1					       5.000	2					       3	1					       5.000	2				
4943		1982	6	7	10	59	 40.1	34	 7.0		 7.0	 6.3				6	MEXICO		MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE	  16.558	  -98.358	150	       9	1				3		2					       9	1				3		2				
4944		1982	6	15	23	24	 28.6	10	 5.5		 5.5	 5.6				7	CHINA		CHINA:  SICHUAN PROVINCE:  GARZE	  31.907	   99.931	30	      10	1			         5	1		1					      10	1			5	1		1				
4945		1982	6	19	6	21	 58.0	82	 6.2			 6.2				7	EL SALVADOR		EL SALVADOR:  SAN SALVADOR; GUATEMALA	  13.313	  -89.339	100	      43	1				3	       5.000	2					      43	1				3	       5.000	2				
4953		1982	11	16	23	41	 21.0	21	 5.5		 5.5	 5.6				8	MACEDONIA		BALKANS NW:  ALBANIA:  BIER, BERAT, LUSHNJE	  40.883	   19.590	130	       1	1			        12	1	       5.000	2					       1	1			12	1	       5.000	2				
4954		1982	12	13	9	12	 48.0	5	 6.0		 6.0	 6.0				8	YEMEN		YEMEN:  DHAMAR	  14.701	   44.379	60	    2800	4			      1500	4	    2000.000	4		4			    2800	4			1500	4	    2000.000	4		4		
4957		1982	12	16	0	40	 48.7	36	 6.6		 6.6	 6.2					AFGHANISTAN		AFGHANISTAN:  NORTHEASTERN	  36.148	   69.011	40	     500	3			      3000	4	       1.000	2					     500	3			3000	4	       1.000	2				
4959	Tsu	1982	12	25	12	28	  2.8	33	 5.9		 5.9	 5.5					INDONESIA		INDONESIA:  FLORES ISLAND:  EASTERN	  -8.405	  123.080	170	      13	1			       390	3	       1.450	2	1875	4			      13	1			390	3	       1.450	2	1875	4		
4972		1983	4	3	2	50	  1.1	37	 7.3		 7.3	 6.5					COSTA RICA		COSTA RICA:  SE, PANAMA: W	   8.717	  -83.123	100	       6	1				2	       1.000	2					       6	1				2	       1.000	2				
4975		1983	4	12	12	7	 54.5	104	 6.5			 6.5					PERU		PERU:  CHIMBOTE	  -4.843	  -78.103	160	      10	1					        .500	1											        .500	1				
4978	Tsu	1983	5	26	2	59	 59.6	24	 7.7		 7.7	 6.8				8	JAPAN		JAPAN:  HONSHU:  AKITA	  40.462	  139.102	30	       4	1			       324	3	     800.000	4					     104	3			324	3	     800.000	4				
4980		1983	7	3	17	14	 23.1	33	 6.2		 6.2	 5.9				9	COSTA RICA		COSTA RICA:  SAN JOSE	   9.652	  -83.688	100	       2	1			        60	2	       5.000	2					       2	1			60	2	       5.000	2				
4981		1983	7	5	12	1	 27.3	10	 6.1		 6.1	 5.7				8	TURKEY		TURKEY:  NW, BIGA, ERDEK, ISTANBUL	  40.324	   27.222	140	       5	1			        26	1		2					       5	1			26	1		2				
4987	Tsu	1983	8	17	12	17	 56.0	29	 6.5		 6.5	 6.2				8	PHILIPPINES		PHILIPPINES:  LUZON	  18.231	  120.860	170	      16	1			        47	1	       2.227	2		3		3	      16	1			471	3	       2.227	2		3		
4991	Tsu	1983	10	4	18	52	 13.3	15	 7.3		 7.3	 6.4				7	CHILE		CHILE:  NORTHERN:  COPOAPO-CHANARAL	 -26.535	  -70.563	160	       5	1			        12	1	       1.000	2	40	1			       5	1			12	1	       1.000	2	40	1		
4993		1983	10	25	0	36	 23.4	33	 6.1		 6.1	 5.8				7	INDONESIA		INDONESIA:  CENTRAL SULAWESI	   1.131	  120.858	170	       2	1			         4	1		2	20	1	4	1	       2	1			4	1		2	20	1	4	1
5677		1983	10	28	14	6	  6.5	14	 7.3		 7.3	 6.2	7.2			9	USA	ID	IDAHO:  BORAH PEAK, CHALLIS, MACKAY	  43.974	 -113.916	150	       2	1			         2	1	      12.500	3					       2	1			2	1	      12.500	3				
4999		1983	10	30	4	12	 27.1	12	 6.9		 6.9	 6.1					TURKEY		TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN	  40.330	   42.187	140	    1342	4			      1142	4	      25.000	4		4			    1342	4			1142	4	      25.000	4		4		
5009		1983	12	22	1	2	  2.4	26	 6.4		 6.4	 5.7				5	PAPUA NEW GUINEA		PAPUA NEW GUINEA:  ULAWUN, RABAUL	  -5.392	  151.868	170	      10	1					      25.000	4					      10	1					      25.000	4				
5011		1983	12	22	4	11	 29.2	11	 6.2		 6.2	 6.4				9	GUINEA		GUINEA:  GAOUAL-KOUMBIA	  11.866	  -13.529	10	     443	3	200	3	      1436	4	       8.000	3	4000	4			     443	3	200	3	1436	4	       8.000	3	4000	4		
5018		1983	12	30	23	52	 39.9	215	 7.2			 7.2				7	AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN	  36.372	   70.738	40	      26	1			       483	3	       3.000	2					      26	1			483	3	       3.000	2				
5019	Tsu	1984	1	8	15	24	 13.5	33	 6.6		 6.6	 6.0					INDONESIA		INDONESIA:  SULAWESI:  W	  -2.823	  118.806	170	       2	1			        89	2	        .500	1			685	3	       2	1			89	2	        .500	1			685	3
5022		1984	2	1	14	22	  7.9	33	 5.8		 5.8	 5.9				4	AFGHANISTAN		AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN	  34.616	   70.484	40	       1	1			        35	1	       5.000	2					       1	1			35	1	       5.000	2				
5027		1984	2	16	17	18	 41.6	208	 6.1			 6.1				6	PAKISTAN		PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI	  36.431	   70.826	60	       4	1			        13	1	       5.000	2					       4	1			13	1	       5.000	2				
5036		1984	5	7	17	49	 41.6	10	 5.8		 5.8	 5.5				8	ITALY		ITALY:  S CENTRAL:  ABRUZZO	  41.765	   13.898	130	       3	1			       100	2	       5.000	2					       3	1			100	2	       5.000	2				
5040		1984	6	24	11	17	 11.9	24	 6.7		 6.7	 6.0				5	DOMINICAN REPUBLIC		DOMINICAN REPUBLIC:  SANTO DOMINGO	  17.984	  -69.338	90	       5	1						1					       5	1						1				
5041	Tsu	1984	8	6	19	6	 38.3	46	 6.7		 6.7	 6.3				6	JAPAN		JAPAN:  KYUSHU:  NOBEOKA	  32.386	  131.945	30	      20	1						2					      20	1						2				
5046		1984	9	13	23	48	 49.9	10	 6.1		 6.1	 6.0				6	JAPAN		JAPAN:  HONSHU:  CENTRAL: MT ONTAKE	  35.789	  137.488	30	      29	1					      43.000	4					      29	1					      43.000	4				
5047		1984	9	18	13	26	  1.8	10	 6.4		 6.4	 5.3				8	TURKEY		TURKEY:  E, ERZURUM, OLUR-SENKAYA	  40.885	   42.219	140	       3	1			        38	1		2	75000	4			       3	1			38	1		3	75000	4		
5053		1984	12	30	23	33	 37.7	23	 5.6			 5.6					INDIA		INDIA:  ASSAM, CACHAR DISTRICT	  24.641	   92.891	60	      20	1			       100	2		3					      20	1			100	2		3				
5054		1985	1	26	3	6	 57.8	5	 6.9		 6.9	 6.0				7	ARGENTINA		ARGENTINA:  WEST CENTRAL, MENDOZA, LA LIGUA	 -33.053	  -68.467	160	       6	1			       238	3	       5.000	2	12000	4	12000	4	       6	1			238	3	       5.000	2	12000	4		
5056	Tsu	1985	3	3	22	47	  9.5	40	 8.0	 8.0	 7.8	 6.7				8	CHILE		CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO	 -33.132	  -71.708	160	     180	3			      2575	4	    1500.000	4		4			     180	3			2575	4	    1500.000	4		4		
5060		1985	3	17	10	41	 38.4	33	 6.6		 6.6	 5.9				7	CHILE		CHILE:  VALPARAISO, VINA DEL MAR	 -32.663	  -71.551	160	       1	1						2					       1	1						2				
5061		1985	3	18	19	49	 45.8	33	 6.5		 6.5	 6.0				5	PHILIPPINES		PHILIPPINES:  PAGADIAN,  ZAMBOANGA	   7.758	  123.544	170	       2	1			        25	1		2	30	1			       2	1			25	1		2	30	1		
5062		1985	4	9	1	56	 59.4	38	 7.5		 7.5	 6.3			 7.0	6	CHILE		CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO	 -34.131	  -71.618	160	       2	1				2		2					       2	1				2						
5064		1985	4	18	5	52	 52.8	5	 5.8		 5.8	 5.7				8	CHINA		CHINA:  YUNNAN PROVINCE	  25.926	  102.871	30	      23	1			       300	3	       1.000	2					      23	1			300	3	       1.000	2				
5066		1985	4	24	1	7	 14.5	33	 6.1		 6.1	 5.6				7	PHILIPPINES		PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO	  16.498	  120.815	170	       6	1			        11	1		2					       6	1			11	1		2				
5068		1985	5	10	15	35	 50.5	27	 7.1		 7.1	 6.3				8	PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA	  -5.599	  151.045	170	       1	1					       1.000	2					       1	1					       1.000	2				
5070		1985	7	29	7	54	 44.0	99	 6.6			 6.6				8	AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT	  36.190	   70.896	40	       5	1			        38	1	       2.000	2					       5	1			38	1	       2.000	2				
5072		1985	8	23	12	41	 56.1	7	 7.5		 7.5	 6.4				7	CHINA		CHINA:  S XINJIANG:  WUQUA-SHUFU	  39.431	   75.224	40	      71	2			       162	3	       5.000	2		3			      71	2			162	3	       5.000	2		3		
5074		1985	9	15	2	42	 54.8	10	 6.3		 6.3	 5.9					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI	  -4.130	  136.049	170	      10	1			         7	1		2					      10	1			7	1		2				
5076	Tsu	1985	9	19	13	17	 47.3	28	 8.1		 8.1	 6.8				9	MEXICO		MEXICO:  MICHOACAN:  MEXICO CITY	  18.190	 -102.533	150	    9500	4			     30000	4	    4000.000	4		4			    9500	4			30000	4	    4000.000	4		4		
5082		1985	10	13	15	59	 51.2	16	 5.9		 5.9	 5.8				9	TAJIKISTAN		TAJIKISTAN:  KAPTOLYUK, KAYRAKKUM, GAFUROV	  40.301	   69.823	40	      29	1			        80	2	     200.000	4		3		3	      29	1			80	2	     200.000	4		3		
5083		1985	10	27	19	34	 57.1	10	 5.9		 5.9	 5.5					ALGERIA		ALGERIA:  ANNABA-SETIF-SOUK	  36.460	    6.761	15	       6	1						1					       6	1						1				
5094		1986	5	5	3	35	 38.8	10	 5.9		 5.9	 5.9					TURKEY		TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE	  37.993	   37.806	140	      15	1			       100	2	       5.000	2	4000	4			      15	1			100	2	       5.000	2	4000	4		
5096		1986	5	13	8	44	  2.1	10	 5.7		 5.7	 5.7				7	GEORGIA		GEORGIA:  AKHALKALAKI, SUSUZ	  41.431	   43.737	40	       2	1						3	1500	4	1500	4	       2	1						3	1500	4		
5098		1986	5	20	5	25	 46.9	19	 6.4		 6.4	 6.1					TAIWAN		TAIWAN:  HUALIEN	  24.125	  121.619	30	       1	1			         5	1		1					       1	1			5	1		1				
5099		1986	6	11	13	48	  1.3	19	 6.2		 6.2	 6.0				7	VENEZUELA		VENEZUELA	  10.597	  -62.928	160	       2	1			        45	1	       1.000	2					       2	1			45	1	       1.000	2				
5101		1986	7	12	7	54	 26.8	10	 5.6		 5.6	 5.7					IRAN		IRAN:  S, FARS PROVINCE, MAMASANI, SHIRAZ	  29.962	   51.582	140	       1	1			         4	1		2	300	3			       1	1			4	1		2	300	3		
5107		1986	8	30	21	28	 35.4	132	 6.9		 6.9	 6.4				8	ROMANIA		ROMANIA:  BUCHAREST, KISHINEV-KAGUL	  45.547	   26.316	110	       2	1			       558	3	     730.000	4			55000	4	       2	1			558	3	     730.000	4			55000	4
5108		1986	9	13	17	24	 31.4	11	 5.8		 5.8	 6.0				10	GREECE		GREECE:  KALAMI, LAKONIA, ZAKINTHOS	  37.014	   22.176	130	      20	1			       300	3	       5.000	2	1500	4			      20	1			300	3			1500	4		
5116	Tsu	1986	11	14	21	20	 10.5	34	 7.8		 7.8	 6.3				8	TAIWAN		TAIWAN:  TAIPEI, HUALIEN	  23.901	  121.574	30	      15	1			        44	1		1					      15	1			44	1		1				
5119		1986	12	7	14	17	  9.5	21	 5.6		 5.6	 5.2				7	BULGARIA		BULGARIA:  VELIKO TURNOVO-TURGOVISHTE	  43.274	   25.912	110	       3	1			        60	2	       5.000	2					       3	1			60	2	       5.000	2				
5126	Tsu	1987	2	8	18	33	 58.3	55	 7.6		 7.6					7	PAPUA NEW GUINEA		PAPUA NEW GUINEA:  HUON PENINSULA, UMBOI ISLAND	  -6.088	  147.689	170	       3	1					       2.625	2		3			       3	1					       2.625	2		3		
5127		1987	3	2	1	42	 34.1	19	 6.6		 6.6	 5.9				10	NEW ZEALAND		NEW ZEALAND:  NORTH ISLAND, WHAKATANI, EDGECUMBE	 -37.965	  176.765	170	       1	1			        25	1	     210.000	4					       1	1			25	1	     210.000	4				
5129	Tsu	1987	3	5	9	17	  5.2	62	 7.3		 7.3	 6.5				6	CHILE		CHILE:  ANTOFAGASTA, ARICA	 -24.388	  -70.161	160	       1	1						2					       1	1						2				
5130		1987	3	6	4	10	 44.4	10	 7.2	 7.2	 6.9	 6.5					ECUADOR		ECUADOR:  NAPO PROVINCE, QUITO, TULCAN	    .083	  -77.785	160	    5000	4					    1500.000	4					    5000	4					    1500.000	4				
5132	Tsu	1987	3	18	3	36	 30.3	54	 6.7		 6.7	 6.4					JAPAN		JAPAN:  KYUSHU:  MIYAZAKI, NAZE	  32.034	  131.837	30	       2	1			         5	1		2					       2	1			5	1		2				
5134		1987	4	25	19	22	  7.2	11	 6.6		 6.6	 5.9					INDONESIA		INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,	   2.244	   98.866	170	       2	1			        22	1	       1.000	2	300	3			       2	1			22	1	       1.000	2	300	3		
5138		1987	8	8	15	48	 56.7	70	 6.9		 6.9	 6.4				7	CHILE		CHILE:  ARICA, IQUIQUE	 -19.022	  -69.991	160	       5	1			       112	3	       1.000	2	1000	3			       5	1			112	3	       1.000	2	1000	3		
